model,preprocessing_variant,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,training_time_seconds,prediction_time_seconds
Logistic Regression Balanced,basic,0.799512987012987,0.6313765035005711,0.6378171182475904,0.6327476091299888,0.8119419605064482,0.799512987012987,0.8036887297195833,0.1997418999999354,0.014477900000201771
Logistic Regression Balanced,linguistic,0.786525974025974,0.6133984140641222,0.6203589865333019,0.6144241372425746,0.8034175380358894,0.786525974025974,0.7927326142231643,0.2600456000000122,0.015977700000803452
Multinomial Naive Bayes,basic,0.8303571428571429,0.5584973020715241,0.5895522091820836,0.5695753159978502,0.79744878674679,0.8303571428571429,0.8079103589844355,0.11021900000196183,0.014689499999803957
Multinomial Naive Bayes,linguistic,0.8271103896103896,0.5561290368258166,0.5874324423564344,0.5673381795325259,0.7938214194426909,0.8271103896103896,0.8044838358431472,20.467466899997817,0.015678600000683218
Random Forest,linguistic,0.799512987012987,0.591256176198605,0.5753765921443154,0.5663491823269869,0.7785298233930885,0.799512987012987,0.7829345156185022,0.7086393999998108,0.05451059999904828
Logistic Regression,basic,0.823051948051948,0.5491737936859887,0.5823315053321663,0.5643030896127499,0.7814347702898938,0.823051948051948,0.8003500279602964,0.24069170000075246,0.014683000001241453
Logistic Regression,linguistic,0.8157467532467533,0.5451672700252009,0.5775620299744556,0.559638390771804,0.7759690591827566,0.8157467532467533,0.793592330000097,0.19020620000083,0.01486309999745572
Random Forest,basic,0.7987012987012987,0.5913615102670756,0.56969717209954,0.5571459694989107,0.7730579204019888,0.7987012987012987,0.7795463564213564,0.6714681000012206,0.05388899999888963
